L,phi,psi,omega,d,theta,rg,re,R
10,-180.0,-5.0,180,-0.362983332757,52.3226810862,10.8513916559,3.72267887148,0.242930038454
10,-180.0,-4.0,180,-0.290833535736,52.2426257013,10.3861226309,3.46244553456,0.244501168885
10,-180.0,-3.0,180,-0.218386893388,52.1802751283,10.0233758571,3.24521445603,0.245875874253
10,-180.0,-2.0,180,-0.145716284713,52.1356931587,9.76380239695,3.08043955063,0.24725057962
10,-180.0,-1.0,180,-0.0728957261419,52.1089255914,9.60787042515,2.97709845532,0.248625284987
10,-180.0,0.0,180,7.46084177482e-18,52.1,9.55586175241,2.94182760112,0.249999990354
10,-180.0,1.0,180,0.0728957261419,52.1089255914,9.60787043153,2.97709845514,0.251374695722
10,-180.0,2.0,180,0.145716284713,52.1356931587,9.7638023373,3.08043950249,0.252749401089
10,-180.0,3.0,180,0.218386893388,52.1802751283,10.023375713,3.24521435939,0.254124106456
10,-180.0,4.0,180,0.290833535736,52.2426257013,10.3861227087,3.46244552517,0.255498811823
10,-180.0,5.0,180,0.362983332757,52.3226810862,10.8513916353,3.72267886032,0.256873478608
10,-180.0,6.0,180,0.434764901014,52.4203598222,11.418350201,4.01723184546,0.258248183975
10,-180.0,7.0,180,0.50610869332,52.5355631871,12.0859912905,4.33874523076,0.259622889342
10,-180.0,8.0,180,0.576947318326,52.6681756867,12.8531345706,4.6812596689,0.260997594709
10,-180.0,9.0,180,0.647215835775,52.8180656192,13.7184384488,5.04006449888,0.262372300077
10,-180.0,10.0,180,0.716852024663,52.9850857091,14.6803995031,5.41146964343,0.263943430508
10,-180.0,11.0,180,0.785796622104,53.1690738026,15.7373657184,5.79258899018,0.265318135875
10,-180.0,12.0,180,0.853993531195,53.3698536182,16.8875432821,6.18115394344,0.266692841242
10,-180.0,13.0,180,0.921389996789,53.5872355441,18.1290015937,6.57536593223,0.268067546609
10,-180.0,14.0,180,0.987936748581,53.8210174747,19.4596864278,6.9737856897,0.269442251977
10,-180.0,15.0,180,1.05358811149,54.070985678,20.8774293145,7.37524930564,0.270816957344
10,-180.0,16.0,180,1.11830208376,54.3369156861,22.3799509557,7.77880324009,0.272191662711
10,-180.0,17.0,180,1.18204038378,54.6185732015,23.9648785741,8.18365865458,0.273566368078
10,-180.0,18.0,180,1.2447684668,54.9157150099,25.629752857,8.58915567846,0.274941073445
10,-180.0,19.0,180,1.30645551337,55.228089895,27.3720352036,8.99473552563,0.27631574023
10,-180.0,20.0,180,1.36707439138,55.5554395465,29.1891190617,9.39992055955,0.277690445597
10,-180.0,21.0,180,1.42660159388,55.8974994554,31.0783412956,9.8042983563,0.279065150964
10,-180.0,22.0,180,1.48501715506,56.2539997924,33.0369890285,10.2075096344,0.280439856332
10,-180.0,23.0,180,1.54230454694,56.6246662624,35.0623100567,10.6092382032,0.281814561699
10,-180.0,24.0,180,1.5984505591,57.0092209318,37.1515175643,11.0092029037,0.283189267066
10,-180.0,25.0,180,1.6534451642,57.407383025,39.3018039229,11.4071530567,0.284760397497
10,-180.0,26.0,180,1.70728137157,57.8188696858,41.5103436223,11.8028614687,0.286135102864
10,-180.0,27.0,180,1.75995507146,58.2433967023,43.7743057863,12.1961222455,0.287509808231
10,-180.0,28.0,180,1.81146487209,58.6806791924,46.0908498767,12.5867453979,0.288884513599
10,-180.0,29.0,180,1.8618119318,59.1304322488,48.4571482355,12.9745569026,0.290259218966
10,-180.0,30.0,180,1.91099978809,59.5923715427,50.8703730982,13.3593936582,0.291633924333
10,-180.0,31.0,180,1.95903418565,60.0662138853,53.3277183475,13.7411032531,0.2930086297
10,-180.0,32.0,180,2.00592290482,60.5516777471,55.8263898328,14.1195411779,0.294383335068
10,-180.0,33.0,180,2.05167559191,61.0484837356,58.3636211361,14.494571402,0.295758001852
10,-180.0,34.0,180,2.0963035929,61.556355032,60.9366705513,14.8660629269,0.297132707219
10,-180.0,35.0,180,2.13981979133,62.0750177869,63.5428197174,15.2338902111,0.298507412587
10,-180.0,36.0,180,2.18223845145,62.6042014783,66.1793924305,15.5979327233,0.299882117954
10,-180.0,37.0,180,2.22357506739,63.1436392301,68.8437332644,15.958072543,0.301256823321
10,-180.0,38.0,180,2.26384621886,63.6930680963,71.5332321395,16.3141964729,0.302631528688
10,-180.0,39.0,180,2.30306943391,64.2522293094,74.2453130755,16.6661937966,0.304202659119
10,-180.0,40.0,180,2.34126305903,64.8208684967,76.9774371619,17.0139562132,0.305577364486
10,-180.0,41.0,180,2.37844613688,65.3987358657,79.7271058754,17.3573783688,0.306952069854
10,-180.0,42.0,180,2.41463829161,65.9855863601,82.4918657223,17.6963581196,0.308326775221
10,-180.0,43.0,180,2.44985962196,66.5811797891,85.2692965208,18.0307950028,0.309701480588
10,-180.0,44.0,180,2.48413060188,67.1852809313,88.057030178,18.3605921081,0.311076185955
10,-180.0,45.0,180,2.51747198876,67.7976596152,90.8527382244,18.6856555035,0.312450891323
10,-180.0,46.0,180,2.5499047389,68.418090778,93.6541390473,19.0058945573,0.31382559669
10,-180.0,47.0,180,2.58144993008,69.0463545048,96.4589937875,19.3212219541,0.315200263474
10,-180.0,48.0,180,2.61212869093,69.6822360496,99.2651188509,19.6315554025,0.316574968841
10,-180.0,49.0,180,2.64196213687,70.3255258395,102.070371402,19.9368157785,0.317949674209
10,-180.0,50.0,180,2.67097131215,70.9760194646,104.872668121,20.2369303192,0.319324379576
10,-180.0,51.0,180,2.69917713792,71.633517654,107.669972038,20.5318306841,0.320699084943
10,-180.0,52.0,180,2.72660036565,72.2978262396,110.460303675,20.8214551592,0.32207379031
10,-180.0,53.0,180,2.75326153593,72.9687561097,113.241737653,21.1057477234,0.323644920741
10,-180.0,54.0,180,2.77918094199,73.6461231526,116.012413322,21.3846604279,0.325019626109
10,-180.0,55.0,180,2.80437859783,74.3297481923,118.770527546,21.6581521193,0.326394331476
10,-180.0,56.0,180,2.82887421049,75.0194569165,121.514343706,21.9261898107,0.327769036843
10,-180.0,57.0,180,2.85268715626,75.715079798,124.242185697,22.1887485412,0.32914374221
10,-180.0,58.0,180,2.87583646039,76.4164520122,126.952455611,22.445812876,0.330518447578
10,-180.0,59.0,180,2.89834078015,77.123413348,129.643620821,22.6973759892,0.331893152945
10,-180.0,60.0,180,2.9202183908,77.8358081163,132.314226709,22.9434410796,0.333267858312
10,-180.0,61.0,180,2.94148717444,78.5534850553,134.962893811,23.1840206979,0.334642525096
10,-180.0,62.0,180,2.96216461115,79.2762972325,137.588319351,23.4191375182,0.336017230464
10,-180.0,63.0,180,2.98226777255,80.0041019461,140.189284904,23.6488243655,0.337391935831
10,-180.0,64.0,180,3.00181331727,80.7367606239,142.764659143,23.8731244227,0.338766641198
10,-180.0,65.0,180,3.02081748833,81.474138722,145.313384318,24.0920905645,0.340141346565
10,-180.0,66.0,180,3.03929611207,82.2161056228,147.83450015,24.3057860446,0.341516051933
10,-180.0,67.0,180,3.05726459855,82.9625345331,150.327126591,24.514283769,0.343087182364
10,-180.0,68.0,180,3.0747379433,83.7133023822,152.790475369,24.7176663735,0.344461887731
10,-180.0,69.0,180,3.09173073013,84.468289721,155.223840256,24.9160254377,0.345836593098
10,-180.0,70.0,180,3.10825713496,85.2273806213,157.626609777,25.1094614598,0.347211298465
10,-180.0,71.0,180,3.12433093053,85.9904625766,159.998253964,25.2980832425,0.348586003833
10,-180.0,72.0,180,3.13996549187,86.7574264041,162.338328149,25.482006869,0.3499607092
10,-180.0,73.0,180,3.15517380236,87.528166148,164.646474389,25.6613557636,0.351335414567
10,-180.0,74.0,180,3.16996846044,88.3025789846,166.922414058,25.8362594551,0.352710119934
10,-180.0,75.0,180,3.18436168667,89.0805651283,169.165948233,26.0068526836,0.354084786719
10,-180.0,76.0,180,3.19836533125,89.8620277408,171.376955208,26.1732750344,0.355459492086
10,-180.0,77.0,180,3.21199088183,90.6468728406,173.555382266,26.3356695676,0.356834197453
10,-180.0,78.0,180,3.22524947158,91.435009216,175.701246882,26.4941821078,0.35820890282
10,-180.0,79.0,180,3.23815188738,92.2263483383,177.814631584,26.6489604207,0.359583608188
10,-180.0,80.0,180,3.25070857825,93.0208042792,179.89567323,26.8001526635,0.360958313555
10,-180.0,81.0,180,3.26292966383,93.818293628,181.944570347,26.9479072457,0.362529443986
10,-180.0,82.0,180,3.27482494285,94.6187354127,183.961562236,27.0923710615,0.363904149353
10,-180.0,83.0,180,3.28640390171,95.4220510224,185.94694072,27.2336892808,0.36527885472
10,-180.0,84.0,180,3.29767572302,96.2281641314,187.901028637,27.3720036124,0.366653560088
10,-180.0,85.0,180,3.30864929403,97.0370006265,189.824186282,27.5074522075,0.368028265455
10,-180.0,86.0,180,3.31933321507,97.8484885351,191.716797902,27.6401681586,0.369402970822
10,-180.0,87.0,180,3.32973580784,98.6625579565,193.579271179,27.7702791993,0.370777676189
10,-180.0,88.0,180,3.33986512366,99.4791409942,195.412028537,27.897906686,0.372152381556
10,-180.0,89.0,180,3.34972895152,100.298171691,197.215504844,28.0231650838,0.373527048341
10,-180.0,90.0,180,3.35933482605,101.119585966,198.990139879,28.1461614842,0.374901753708
10,-180.0,91.0,180,3.36869003528,101.943321552,200.736374737,28.266995014,0.376276459075
10,-180.0,92.0,180,3.37780162835,102.769317937,202.454645481,28.3857563893,0.377651164443
10,-180.0,93.0,180,3.38667642292,103.597516309,204.145384961,28.5025280655,0.37902586981
10,-180.0,94.0,180,3.39532101248,104.427859495,205.809010267,28.6173834751,0.380400575177
10,-180.0,95.0,180,3.40374177355,105.26029191,207.445925067,28.7303873449,0.381971705608
10,-180.0,96.0,180,3.41194487252,106.094759507,209.056515697,28.8415955501,0.383346410975
10,-180.0,97.0,180,3.41993627252,106.931209721,210.641149956,28.951055477,0.384721116343
10,-180.0,98.0,180,3.42772173993,107.769591424,212.200171761,29.0588058368,0.38609582171
10,-180.0,99.0,180,3.43530685083,108.609854877,213.733902383,29.1648773805,0.387470527077
10,-180.0,100.0,180,3.44269699721,109.451951685,215.242638393,29.2692930028,0.388845232444
10,-180.0,101.0,180,3.44989739298,110.295834747,216.726652706,29.3720683882,0.390219937811
10,-180.0,102.0,180,3.45691307987,111.141458223,218.186191927,29.4732124108,0.391594643179
10,-180.0,103.0,180,3.46374893306,111.988777482,219.621477396,29.5727277571,0.392969309963
10,-180.0,104.0,180,3.47040966674,112.837749072,221.032708542,29.6706117032,0.39434401533
10,-180.0,105.0,180,3.47689983937,113.688330671,222.420060198,29.7668566071,0.395718720698
10,-180.0,106.0,180,3.48322385889,114.540481059,223.783687568,29.8614508073,0.397093426065
10,-180.0,107.0,180,3.48938598771,115.394160074,225.123722701,29.9543790819,0.398468131432
